"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/05/2026","111,67","111,83","111,95","111,24","","-0,14%"
"28/05/2026","111,83","111,39","112,58","111,09","","0,33%"
"27/05/2026","111,46","111,84","112,05","111,29","","-0,36%"
"26/05/2026","111,86","112,30","112,67","111,86","","-0,40%"
"25/05/2026","112,31","111,87","112,77","111,84","","0,40%"
"24/05/2026","111,87","112,31","112,31","111,87","","-0,63%"
"22/05/2026","112,58","112,91","113,23","112,53","","-0,40%"
"21/05/2026","113,03","112,93","113,41","112,48","","0,09%"
"20/05/2026","112,93","111,83","113,25","111,83","","0,76%"
"19/05/2026","112,07","112,81","113,12","111,72","","-0,54%"
"18/05/2026","112,68","111,59","112,87","111,57","","0,98%"
"17/05/2026","111,59","111,59","111,59","111,59","","0,43%"
"15/05/2026","111,12","111,93","113,10","109,87","","-0,73%"
"14/05/2026","111,93","111,46","112,69","111,46","","0,42%"
"13/05/2026","111,46","114,19","114,44","111,46","","-2,48%"
"12/05/2026","114,29","113,58","114,35","113,58","","0,56%"
"11/05/2026","113,65","113,64","114,16","113,53","","0,01%"
"10/05/2026","113,64","113,92","113,92","113,64","","-0,26%"
"08/05/2026","113,93","113,39","114,04","113,21","","0,48%"
"07/05/2026","113,39","113,23","113,93","113,08","","-0,07%"
"06/05/2026","113,47","114,24","114,24","112,95","","-0,67%"
"05/05/2026","114,24","112,54","114,53","112,54","","1,57%"
"04/05/2026","112,47","112,99","113,36","112,45","","-0,46%"
"03/05/2026","112,99","112,99","112,99","112,99","","0,00%"
"01/05/2026","112,99","112,93","113,13","112,93","","0,06%"
"30/04/2026","112,93","111,87","113,02","111,87","","0,98%"
"29/04/2026","111,83","112,46","112,64","111,48","","-0,56%"
"28/04/2026","112,46","111,87","112,66","111,87","","0,52%"
"27/04/2026","111,87","112,36","112,61","111,87","","-0,43%"
"26/04/2026","112,36","112,36","112,36","112,36","","-0,15%"
"24/04/2026","112,53","111,33","112,53","111,33","","0,96%"
"23/04/2026","111,45","112,13","113,66","111,45","","-0,61%"
"22/04/2026","112,13","112,23","112,73","111,86","","0,16%"
"21/04/2026","111,95","112,15","112,30","111,95","","-0,18%"
"20/04/2026","112,15","112,18","112,18","111,57","","-0,02%"
"19/04/2026","112,18","112,18","112,18","112,18","","0,38%"
"17/04/2026","111,76","111,54","112,32","111,18","","0,20%"
"16/04/2026","111,54","111,34","111,67","111,03","","0,17%"
"15/04/2026","111,34","111,37","111,84","111,33","","0,00%"
"14/04/2026","111,34","112,08","112,42","111,25","","-0,66%"
"13/04/2026","112,08","111,75","112,44","111,36","","0,30%"
"12/04/2026","111,75","112,01","112,01","111,75","","-0,19%"
"10/04/2026","111,96","111,02","112,00","110,69","","0,98%"
"09/04/2026","110,87","110,61","110,97","109,96","","0,24%"
"08/04/2026","110,61","110,30","129,25","108,80","","0,27%"
"07/04/2026","110,30","110,60","127,56","109,82","","-0,26%"
"06/04/2026","110,60","110,24","110,63","110,04","","0,33%"
"05/04/2026","110,24","110,24","110,24","110,24","","-0,08%"
"03/04/2026","110,32","110,03","110,32","110,03","","0,27%"
"02/04/2026","110,03","109,50","110,76","109,34","","0,48%"
"01/04/2026","109,50","110,09","110,09","109,10","","-0,54%"
"31/03/2026","110,09","108,97","110,44","108,83","","0,97%"
"30/03/2026","109,03","108,45","109,50","108,30","","0,54%"
"29/03/2026","108,45","108,42","108,45","108,42","","0,04%"
"27/03/2026","108,40","108,50","109,37","107,74","","-0,05%"
"26/03/2026","108,46","107,84","109,01","107,70","","0,57%"
"25/03/2026","107,84","108,01","108,72","107,84","","-0,15%"
"24/03/2026","108,01","108,61","109,04","107,37","","-0,55%"
"23/03/2026","108,61","106,49","109,00","106,49","","1,99%"
"22/03/2026","106,49","107,36","107,36","106,49","","-0,86%"
"20/03/2026","107,41","109,44","109,47","106,78","","-1,85%"
"19/03/2026","109,44","107,68","109,82","107,54","","1,63%"
"18/03/2026","107,68","109,83","109,98","107,68","","-1,95%"
"17/03/2026","109,83","109,96","111,20","109,10","","-0,12%"
"16/03/2026","109,96","107,43","110,08","107,43","","2,36%"
"15/03/2026","107,43","107,43","107,43","107,43","","-0,01%"
"13/03/2026","107,43","108,61","109,55","106,87","","-1,08%"
"12/03/2026","108,61","109,04","110,11","107,54","","-0,40%"
"11/03/2026","109,04","109,06","109,86","108,71","","-0,02%"
"10/03/2026","109,06","109,67","109,72","108,70","","-0,56%"
"09/03/2026","109,67","107,60","109,72","107,60","","1,93%"
"08/03/2026","107,60","108,19","108,19","107,60","","-0,53%"
"06/03/2026","108,17","107,15","108,23","106,32","","0,95%"
"05/03/2026","107,15","107,58","107,87","106,56","","-0,39%"
"04/03/2026","107,58","106,48","108,30","106,48","","1,03%"
"03/03/2026","106,48","107,78","108,45","105,71","","-1,20%"
"02/03/2026","107,78","108,17","108,44","106,45","","-0,37%"
"01/03/2026","108,17","108,17","108,17","108,17","","0,15%"
"27/02/2026","108,01","107,53","108,29","107,31","","0,44%"
"26/02/2026","107,53","108,25","108,40","107,07","","-0,67%"
"25/02/2026","108,25","108,03","108,75","107,58","","0,20%"
"24/02/2026","108,03","107,57","108,18","107,36","","0,43%"
"23/02/2026","107,57","107,44","108,26","106,96","","0,12%"
"22/02/2026","107,44","107,44","107,44","107,44","","-0,01%"
"20/02/2026","107,45","106,13","107,58","106,13","","1,25%"
"19/02/2026","106,13","105,71","106,78","105,71","","0,40%"
"18/02/2026","105,71","105,98","106,57","105,44","","-0,26%"
"17/02/2026","105,98","105,88","106,16","105,88","","0,10%"
"16/02/2026","105,88","105,76","105,88","105,76","","0,11%"
"15/02/2026","105,76","105,86","105,86","105,76","","-0,03%"
"13/02/2026","105,80","105,90","106,16","105,33","","-0,10%"
"12/02/2026","105,90","106,02","106,99","105,40","","-0,11%"
"11/02/2026","106,02","105,95","106,59","105,91","","0,07%"
"10/02/2026","105,95","106,42","106,58","105,70","","-0,45%"
"09/02/2026","106,42","106,33","106,97","106,02","","0,09%"
"08/02/2026","106,33","106,33","106,33","106,33","","0,06%"
"06/02/2026","106,27","105,20","106,88","105,16","","1,02%"
"05/02/2026","105,20","105,84","106,27","105,20","","-0,61%"
"04/02/2026","105,84","106,19","106,43","105,48","","-0,33%"
"03/02/2026","106,19","104,93","106,81","104,83","","1,21%"
"02/02/2026","104,93","105,25","105,54","104,81","","-0,30%"
"01/02/2026","105,25","105,25","105,25","105,25","","0,12%"
